county_id,ndvi_value,vegetation_density,vegetation_type
sf,0.4065939402101705,0.4734023047398598,moderate
sf,0.4125141287059756,0.4784939809529394,moderate
sf,0.08815192471461353,0.18765029065403793,barren
sf,0.03804923606277599,0.051226016418449635,barren
sf,0.5279491776779417,0.5227672478089249,moderate
sf,0.7398532044752306,0.5922443009784154,dense
sf,0.11231003233915693,0.09788449842510107,barren
sf,0.12058393191637629,0.2519549157438088,barren
sf,0.5338473650755172,0.43911515307712856,moderate
sf,0.9867742887676985,0.8525937525830509,very dense
sf,0.747980759420863,0.6091002403983824,dense
sf,0.5474330519384988,0.5116543794596122,moderate
sf,0.0164142419167147,0.024438754073645243,barren
sf,0.7039082006600806,0.7602341493948419,dense
la,0.7986399955291325,0.7102314454094774,dense
la,0.8686717845321084,0.7024658034275235,very dense
la,0.47564264230890774,0.4375385900296533,moderate
la,0.8964754047507628,0.9032258697948221,very dense
la,0.007745527252611462,0.1392199356126456,barren
la,0.4345184715548279,0.4064720984391562,moderate
la,0.777870931586815,0.6862943019913583,dense
la,0.5040805951093024,0.526054861905219,moderate
la,0.6223611906169221,0.5241087727478532,dense
la,0.9643429546675536,0.9121356680118702,very dense
la,0.8863470592084571,0.7303642578219542,very dense
la,0.01079026240200609,0.17553575188618847,barren
la,0.2023251155071396,0.296717311703637,sparse
la,0.7156622213370689,0.7626276897756984,dense
la,0.4512956600144319,0.3910956982645881,moderate
la,0.8740426305966333,0.8152186363569912,very dense
la,0.40175041193287353,0.3347670440708839,moderate
la,0.3209117157259489,0.44275424933913243,sparse
la,0.08548905255808337,0.18561004315661145,barren
la,0.05815928518886371,0.11534642913152096,barren
la,0.12204248451137245,0.29343703223250966,barren
la,0.5696227387996662,0.5740380530813484,moderate
la,0.6887003851162031,0.5724455830796166,dense
la,0.389190692933878,0.3672936460467568,sparse
la,0.5601880128997329,0.514020440595435,moderate
la,0.9137585748466788,0.8746464922027065,very dense
la,0.7358442220649832,0.7449168267087942,dense
la,0.3086589149074451,0.28651250719205673,sparse
la,0.25438680234796096,0.32853606749267594,sparse
la,0.6826979641205889,0.7284108749023969,dense
la,0.10624292602810004,0.11288915447441346,barren
la,0.7009870487708889,0.6238555918775611,dense
la,0.36748507415000387,0.3239856145102522,sparse
la,0.4916907625728628,0.44013406850329545,moderate
la,0.9967119902777868,0.9655852119848239,very dense
la,0.002420314710498639,0.1279759053552082,barren
la,0.7334501358042822,0.6824723001440154,dense
la,0.40825161912156005,0.4075206017531118,moderate
la,0.4862654964815576,0.4534474489386933,moderate
la,0.04802689310280306,0.20143437758577998,barren
la,0.42169087084018575,0.4524615034232497,moderate
la,0.7244346048201405,0.7614062744982903,dense
la,0.2245145564093921,0.33643967043734285,sparse
la,0.7195914633308322,0.7020143953528329,dense
la,0.07532425022629952,0.14662653597518993,barren
la,0.9015979647775885,0.8391505824477444,very dense
la,0.2826557907793581,0.305757517376056,sparse
la,0.6715597522608899,0.6640516248925954,dense
la,0.3356313378480368,0.4659780014049086,sparse
la,0.8625830407757564,0.6935533539350035,very dense
la,0.3687380245580486,0.46983451788249175,sparse
la,0.008467734910089009,0.022421920665688246,barren
la,0.7908446333795158,0.7511122897327798,dense
la,0.9572707671687747,0.7703903436819542,very dense
la,0.7045555065160914,0.6419507297736725,dense
la,0.6507508782298161,0.6270419271068217,dense
la,0.8660960372926994,0.7228304243290159,very dense
la,0.023395008005057782,0.11211050893462693,barren
la,0.397884141625062,0.49968243212317626,sparse
la,0.3079857472348818,0.36651906621164515,sparse
la,0.22844819504708824,0.25281152350472197,sparse
la,0.4538455739534222,0.36937605757889713,moderate
la,0.7799205432685536,0.6685120229998152,dense
la,0.8993387326566727,0.7403591524383393,very dense
la,0.4045544182213978,0.37348661176470066,moderate
la,0.08597300154567888,0.09941572517167008,barren
la,0.31020223761012866,0.43137110301106185,sparse
la,0.8920441512947104,0.7161153185608953,very dense
la,0.8483808045792659,0.838338012241101,very dense
la,0.4039421798794919,0.5138486288203734,moderate
la,0.22696596271735592,0.3422272780567508,sparse
la,0.8601390799193641,0.6924489708946427,very dense
la,0.6097435577270376,0.6671472468958352,dense
la,0.4391847815472665,0.4383263061071764,moderate
la,0.7115071843456815,0.7638527243855178,dense
la,0.2215973407409746,0.3176636517119148,sparse
la,0.9999240348791907,0.8070626208000904,very dense
la,0.4315379674490871,0.48388517229091715,moderate
la,0.37541667313207727,0.39205311934625386,sparse
la,0.3526519806305094,0.3159636261306152,sparse
la,0.7149207185660744,0.6098672655698397,dense
